feature,sample_class,sample_class_label,sample_count,min_value,max_value,non_event_count,non_event_rate,event_count,event_rate,distbn_non_event,distbn_event,woe,iv,iv_sum,remarks
acct_id,SA74492,,1,SA74492,SA74492,0,0.0,1,1.0,0.0,0.0003952569169960474,0.0,0.0,0.0,categorical
acct_id,SA74495,,1,SA74495,SA74495,1,1.0,0,0.0,0.00018281535648994517,0.0,0.0,0.0,0.0,categorical
acct_id,SA74502,,1,SA74502,SA74502,1,1.0,0,0.0,0.00018281535648994517,0.0,0.0,0.0,0.0,categorical
acct_id,SA74504,,1,SA74504,SA74504,1,1.0,0,0.0,0.00018281535648994517,0.0,0.0,0.0,0.0,categorical
acct_id,SA74521,,1,SA74521,SA74521,1,1.0,0,0.0,0.00018281535648994517,0.0,0.0,0.0,0.0,categorical
acct_id,SA74542,,1,SA74542,SA74542,1,1.0,0,0.0,0.00018281535648994517,0.0,0.0,0.0,0.0,categorical
acct_id,SA74547,,1,SA74547,SA74547,1,1.0,0,0.0,0.00018281535648994517,0.0,0.0,0.0,0.0,categorical
acct_id,SA74548,,1,SA74548,SA74548,1,1.0,0,0.0,0.00018281535648994517,0.0,0.0,0.0,0.0,categorical
acct_id,SA74576,,1,SA74576,SA74576,1,1.0,0,0.0,0.00018281535648994517,0.0,0.0,0.0,0.0,categorical
acct_id,SA74578,,1,SA74578,SA74578,0,0.0,1,1.0,0.0,0.0003952569169960474,0.0,0.0,0.0,categorical
acct_id,SA74580,,1,SA74580,SA74580,1,1.0,0,0.0,0.00018281535648994517,0.0,0.0,0.0,0.0,categorical
acct_id,SA74584,,1,SA74584,SA74584,1,1.0,0,0.0,0.00018281535648994517,0.0,0.0,0.0,0.0,categorical
acct_id,SA74618,,1,SA74618,SA74618,1,1.0,0,0.0,0.00018281535648994517,0.0,0.0,0.0,0.0,categorical
acct_id,SA74620,,1,SA74620,SA74620,1,1.0,0,0.0,0.00018281535648994517,0.0,0.0,0.0,0.0,categorical
acct_id,SA74622,,1,SA74622,SA74622,1,1.0,0,0.0,0.00018281535648994517,0.0,0.0,0.0,0.0,categorical
acct_id,SA74627,,1,SA74627,SA74627,1,1.0,0,0.0,0.00018281535648994517,0.0,0.0,0.0,0.0,categorical
acct_id,SA74635,,1,SA74635,SA74635,0,0.0,1,1.0,0.0,0.0003952569169960474,0.0,0.0,0.0,categorical
acct_id,SA74646,,1,SA74646,SA74646,1,1.0,0,0.0,0.00018281535648994517,0.0,0.0,0.0,0.0,categorical
acct_id,SA74654,,1,SA74654,SA74654,1,1.0,0,0.0,0.00018281535648994517,0.0,0.0,0.0,0.0,categorical
acct_id,SA74660,,1,SA74660,SA74660,0,0.0,1,1.0,0.0,0.0003952569169960474,0.0,0.0,0.0,categorical
acct_id,SA74661,,1,SA74661,SA74661,0,0.0,1,1.0,0.0,0.0003952569169960474,0.0,0.0,0.0,categorical
acct_id,SA74667,,1,SA74667,SA74667,1,1.0,0,0.0,0.00018281535648994517,0.0,0.0,0.0,0.0,categorical
acct_id,SA74680,,1,SA74680,SA74680,1,1.0,0,0.0,0.00018281535648994517,0.0,0.0,0.0,0.0,categorical
acct_id,SA74688,,1,SA74688,SA74688,1,1.0,0,0.0,0.00018281535648994517,0.0,0.0,0.0,0.0,categorical
acct_id,SA74691,,1,SA74691,SA74691,0,0.0,1,1.0,0.0,0.0003952569169960474,0.0,0.0,0.0,categorical
acct_id,SA74693,,1,SA74693,SA74693,0,0.0,1,1.0,0.0,0.0003952569169960474,0.0,0.0,0.0,categorical
acct_id,SA74695,,1,SA74695,SA74695,1,1.0,0,0.0,0.00018281535648994517,0.0,0.0,0.0,0.0,categorical
acct_id,SA74701,,1,SA74701,SA74701,1,1.0,0,0.0,0.00018281535648994517,0.0,0.0,0.0,0.0,categorical
acct_id,SA74730,,1,SA74730,SA74730,1,1.0,0,0.0,0.00018281535648994517,0.0,0.0,0.0,0.0,categorical
acct_id,SA74733,,1,SA74733,SA74733,0,0.0,1,1.0,0.0,0.0003952569169960474,0.0,0.0,0.0,categorical
acct_id,SA74734,,1,SA74734,SA74734,1,1.0,0,0.0,0.00018281535648994517,0.0,0.0,0.0,0.0,categorical
acct_id,SA74750,,1,SA74750,SA74750,0,0.0,1,1.0,0.0,0.0003952569169960474,0.0,0.0,0.0,categorical
acct_id,SA74755,,1,SA74755,SA74755,1,1.0,0,0.0,0.00018281535648994517,0.0,0.0,0.0,0.0,categorical
acct_id,SA74759,,1,SA74759,SA74759,0,0.0,1,1.0,0.0,0.0003952569169960474,0.0,0.0,0.0,categorical
acct_id,SA74760,,1,SA74760,SA74760,1,1.0,0,0.0,0.00018281535648994517,0.0,0.0,0.0,0.0,categorical
acct_id,SA74765,,1,SA74765,SA74765,1,1.0,0,0.0,0.00018281535648994517,0.0,0.0,0.0,0.0,categorical
acct_id,SA74767,,1,SA74767,SA74767,1,1.0,0,0.0,0.00018281535648994517,0.0,0.0,0.0,0.0,categorical
