Acct id,min,max,mean,std,median,min_l3,max_l3,mean_l3,std_l3,median_l3,min_l6,max_l6,mean_l6,std_l6,median_l6,percentile_1_flag_gt,percentile_1_flag_lt,percentile_5_flag_gt,percentile_5_flag_lt,percentile_10_flag_gt,percentile_10_flag_lt,percentile_25_flag_gt,percentile_25_flag_lt,percentile_50_flag_gt,percentile_50_flag_lt,percentile_75_flag_gt,percentile_75_flag_lt,percentile_95_flag_gt,percentile_95_flag_lt,percentile_99_flag_gt,percentile_99_flag_lt,trend_slope,mean_a1_dwt,median_a1_dwt,std_a1_dwt,max_a1_dwt,mean_a2_dwt,median_a2_dwt,std_a2_dwt,max_a2_dwt,acct_id,r2,Christmas_Day,Columbus_Day,Independence_Day,Independence_Day_observed,Labor_Day,Martin_Luther_King_Jr_Day,Memorial_Day,New_Years_Day,Thanksgiving,Veterans_Day,Washingtons_Birthday,ENT,SMB,activate,convert,score_convert_lr,prediction_category
SA52400,61,175,95.0,30.42726050465572,86.0,84,125,99.0,22.60530911091463,88.0,61,125,88.33333333333333,21.740898478827102,86.0,1.0,0.0,1.0,0.0,1.0,0.0,0.08333333333333333,0.9166666666666666,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,-19.039460539460602,190.00000000000003,197.00000000000006,20.607442021431623,211.0,-11.785113019775793,-8.485281374238571,25.480929688254665,21.213203435596434,SA52400,0.3107509328358209,-31.125,3.552713678800501e-15,1.1102230246251565e-15,1.7763568394002505e-15,0.0,-37.187500000000014,0.0,5.874999999999998,0.0,0.0,1.3124999999999947,0,1,0,0,0.11748528756989257,0
SA71179,423,1165,704.9,232.43658633413688,648.5,524,736,660.3333333333334,118.30610015266896,721.0,423,1040,679.0,213.2116319528557,675.5,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.7,0.3,0.1,0.9,0.0,1.0,0.0,1.0,151.78409090909076,1367.666666666667,1407.0000000000002,117.2478381700727,1487.5000000000002,-161.07892475429554,-92.63098833543773,213.01521072449262,149.90663761154804,SA71179,0.026732428308684053,4.263256414560601e-14,0.0,-29.000000000000004,-29.000000000000004,0.0,0.0,-85.0,0.0,0.0,0.0,0.0,1,0,1,1,0.5610713323455399,2
SA76228,500,1349,1010.8888888888889,274.45602764579814,994.0,893,1349,1158.0,236.8353858695951,1232.0,500,1349,955.8333333333334,306.9341406013131,933.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.8888888888888888,0.1111111111111111,0.3333333333333333,0.6666666666666666,0.0,1.0,0.0,1.0,-224.2030303030306,2072.1666666666674,1943.0000000000005,190.85873193426482,2342.0000000000005,148.20958133670038,239.7091988222396,212.74472966445023,369.10973977937783,SA76228,0.11799890476225583,-8.526512829121202e-14,62.59999999999996,0.0,0.0,223.10000000000005,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0,0,0.194677536896033,1
SA16108,23,110,54.916666666666664,21.848479594838185,55.0,23,59,40.333333333333336,18.036999011291577,39.0,23,110,52.0,31.086974764360715,44.0,1.0,0.0,1.0,0.0,0.8333333333333334,0.16666666666666666,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,6.322427572427594,109.83333333333333,110.50000000000001,26.948510575210317,142.5,-13.317177712346647,-7.778174593052022,16.710359395031308,9.192388155425121,SA16108,0.08882576058148584,0.0,-16.499999999999996,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,0.3363678457252498,1
SA71851,327,1929,823.5833333333334,452.4489842328451,754.5,428,770,645.6666666666666,189.14104084870988,739.0,327,1080,730.0,307.06025467324815,754.5,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.5833333333333334,0.4166666666666667,0.16666666666666666,0.8333333333333334,0.0,1.0,0.0,1.0,-106.44930069930064,1647.1666666666667,1486.5,284.90973229350294,2047.5,167.2307537506185,225.92061658910197,531.7776399335847,1012.576910659136,SA71851,0.23766334584560844,0.0,-371.2499999999998,0.0,0.0,-508.75000000000006,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0,1,0.16956513088931996,1
SA69779,87,250,158.75,40.89482074341889,161.0,87,173,126.0,43.55456348076513,118.0,87,173,137.83333333333334,32.975243238931036,142.0,1.0,0.0,1.0,0.0,1.0,0.0,0.6666666666666666,0.3333333333333333,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,-2.4308191808192245,317.5,306.5,42.76291227999642,374.50000000000006,-18.266925180652475,-20.152543263816604,22.79406599192966,21.920310216782973,SA69779,0.4135489569885167,-74.00000000000004,31.999999999999986,0.0,0.0,0.0,0.0,0.0,0.0,-3.552713678800501e-15,-8.5,0.0,0,1,0,1,0.12576368280667516,0
SA72560,414,2291,1564.5454545454545,539.6779342601222,1424.0,1424,2145,1835.0,370.95956652983085,1936.0,1290,2145,1763.5,342.297969611273,1846.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.9090909090909091,0.09090909090909091,0.9090909090909091,0.09090909090909091,0.0,1.0,0.0,1.0,223.2174825174827,2937.333333333334,2959.5000000000005,151.65988995849307,3111.0000000000005,-67.17514421272199,59.04341622907668,621.1773767075981,714.1778489984131,SA72560,0.3379715179748889,-495.99999999999983,2.2737367544323206e-13,0.0,1.7053025658242404e-13,0.0,520.499999999999,0.0,387.9999999999989,-167.50000000000097,0.0,0.0,0,1,1,1,0.2865551489076401,1
SA32387,101,269,151.75,47.13640746907755,143.0,116,186,156.66666666666666,36.35014901390822,168.0,101,186,146.0,32.60061349115995,152.5,1.0,0.0,1.0,0.0,1.0,0.0,0.4166666666666667,0.5833333333333334,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,-26.409840159840098,303.5,306.0,32.9114974844152,342.50000000000006,22.509565867771755,27.223611075682086,53.08235216257011,118.79393923933998,SA32387,0.6642909749286525,1.3750000000000098,9.947598300641403e-14,-2.1316282072803006e-14,-7.105427357601002e-15,-1.5543122344752192e-15,7.562500000000009,0.0,-15.624999999999993,124.06249999999997,0.0,-28.93749999999997,1,0,0,0,0.3488370004497683,1
SA47858,10,70,41.0,24.64413385236603,42.0,10,70,41.666666666666664,30.138568866708543,45.0,10,70,41.0,24.64413385236603,42.0,1.0,0.0,0.75,0.25,0.75,0.25,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,-9.200000000000129,82.0,82.0,0.0,82.0,-23.33452377915607,-23.33452377915607,1.4142135623730958,-21.920310216782973,SA47858,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0,1,0.11634156966705499,0
SA72551,267,1508,693.5,358.0364379628013,652.5,306,669,507.3333333333333,184.72231411860704,547.0,267,1508,594.6666666666666,476.95478471933444,426.5,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.6666666666666666,0.3333333333333333,0.08333333333333333,0.9166666666666666,0.0,1.0,0.0,1.0,8.035464535464815,1387.0000000000002,1630.5000000000002,346.83881943442645,1634.0000000000002,-109.36584882351933,9.545941546018398,398.8108713552216,304.763022691402,SA72551,0.14066834457256072,252.99999999999997,8.526512829121202e-14,0.0,-7.105427357601002e-15,-1.4210854715202004e-14,3.6666666666665995,0.0,89.66666666666671,0.0,0.0,279.1666666666668,1,0,1,1,0.5565644737826304,2
